id,name,amenity,lat,lon,district
1,Unknown,fuel,10.7573369,106.6737575,District 5
2,Unknown,fuel,10.751473,106.6632784,District 5
3,Unknown,fuel,10.752142,106.6769446,District 5
4,Unknown,fuel,10.7588341,106.6715294,District 5
5,Unknown,fuel,10.7542739,106.6817629,District 5
6,Unknown,fuel,10.7583332,106.661687,District 5
7,Cửa Hàng Xăng Dầu Petrolimex,fuel,10.7605198,106.6768407,District 5
8,Unknown,fuel,10.7582978,106.6809514,District 5
9,Circle K,,10.7603293,106.6809755,District 5
10,Unknown,parking,10.7538748,106.6640138,District 5
11,Unknown,parking,10.7562612,106.6631697,District 5
12,Unknown,parking,10.7546029,106.6636004,District 5
13,Unknown,parking,10.7535446,106.663478,District 5
14,Unknown,parking,10.7537876,106.6630199,District 5
15,Unknown,parking,10.763499,106.682012,District 5
16,FamilyMart,,10.756373,106.6834514,District 5
17,WinMart+,,10.7547199,106.67922,District 5
18,WinMart+,,10.7510097,106.6647146,District 5
19,Ministop,,10.7573031,106.6831577,District 5
20,Unknown,parking,10.7544261,106.6551065,District 5
21,WinMart+,,10.7545559,106.6640054,District 5
22,WinMart+,,10.7545901,106.6768357,District 5
23,Cửa Hàng Xăng Dầu Petrolimex,fuel,10.7544518,106.6773387,District 5
24,WinMart+,,10.753849,106.6746175,District 5
25,GS25,,10.7620632,106.682758,District 5
26,Trường Đại Học Sư Phạm Thành phố Hồ Chí Minh,university,10.7612196,106.6822697,District 5
27,Unknown,,10.754873,106.6510122,District 5
28,Unknown,fuel,10.7609081,106.6831584,District 5
29,FamilyMart,,10.7532336,106.6643794,District 5
30,Trường Đại học Sư phạm Thành phố Hồ Chí Minh,university,10.761364819623578,106.68215373866066,District 5
31,Trường Đại học Khoa học Tự nhiên - ĐHQG Thành phố Hồ Chí Minh - Cơ sở 1,university,10.762464344639632,106.68166279163786,District 5
32,Trường Đại học Sài Gòn – cơ sở chính,university,10.759661069923531,106.68207852002995,District 5
33,Công viên Hòa Bình,,10.760608433333331,106.6736416,District 5
34,Unknown,,10.754794019201533,106.65790143384837,District 5
35,Công viên Văn Lang,,10.756543116780911,106.66773967474666,District 5
36,Công viên Dạ Trạch,,10.756645594551701,106.66687009662007,District 5
37,Unknown,,10.750772068448294,106.65823976602152,District 5
38,Công viên Cửu Long,,10.75084630192669,106.65386161115767,District 5
39,Công viên Võ Văn Kiệt,,10.75071020944463,106.668637263732,District 5
40,Unknown,,10.750904785156864,106.6562025517833,District 5
41,Công viên Võ Văn Kiệt,,10.75033882426437,106.67082965294993,District 5
42,Unknown,,10.750846993529128,106.65693598203583,District 5
43,Unknown,,10.750916947771838,106.65517620942298,District 5
44,Đại học Y Dược Thành phố Hồ Chí Minh,university,10.754373147797626,106.66327602223583,District 5
45,Unknown,,10.75007072508619,106.67049216938067,District 5
46,Unknown,,10.750338915480578,106.66877650452177,District 5
47,Trung tâm Giáo dục thường xuyên Quận 5,college,10.751223736880016,106.66294790665815,District 5
48,Unknown,,10.754762137570335,106.67128988049295,District 5
49,Unknown,,10.755705581467385,106.66433155362026,District 5
50,Unknown,,10.754928523487816,106.660399258019,District 5
51,Trường Dự bị Đại học Thành phố Hồ Chí Minh,college,10.759647987730208,106.67054045673359,District 5
52,Công viên Chợ Quán,,10.76055309456136,106.6759761081848,District 5
53,Petrolimex,fuel,10.759555650000001,106.68372049999999,District 5
54,Unknown,fuel,10.749471799999998,106.67469555,District 5
55,Petrolimex,fuel,10.755416891168222,106.6822318292255,District 5
56,Cửa Hàng Xăng Dầu Petrolimex,fuel,10.756174886851458,106.68501137766499,District 5
57,Cửa Hàng Xăng Dầu Petrolimex,fuel,10.756186852122907,106.68339095790894,District 5
58,CHXD Số 41,fuel,10.755428169408436,106.67200469345666,District 5
59,Công viên Âu Lạc,,10.76480460998692,106.68082564215894,District 5
60,Unknown,parking,10.757792149999998,106.66003734999998,District 5
61,Unknown,,10.753193519665055,106.65148704108681,District 5
62,Unknown,,10.759853021814092,106.66892100619405,District 5
63,Unknown,parking,10.763030399873353,106.68211848319376,District 5
64,Unknown,parking,10.762428864412097,106.68202813730763,District 5
65,Trường Cao đẳng Kinh tế đối ngoại,college,10.7547919,106.68150345000001,District 5
66,Unknown,,10.75642755002355,106.68166798337343,District 5
67,Unknown,,10.756214383593385,106.68172879490818,District 5
68,Unknown,,10.749028649595544,106.65561077644138,District 5
69,Unknown,,10.748844933320344,106.65442087761039,District 5
70,Unknown,parking,10.76033645,106.68223119999999,District 5
71,Unknown,parking,10.760172286856145,106.68183955299513,District 5
72,Circle K,,10.756935079180106,106.66289510539114,District 5
73,Unknown,,10.758126721407208,106.66597139109909,District 5
74,GS25,,10.75946511237719,106.66766871876366,District 5
75,Unknown,,10.759621958955304,106.66846412805427,District 5
76,Đại học Y Dược Thành phố Hồ Chí Minh - Bộ môn Xét nghiệm,university,10.75936031443901,106.66795560658605,District 5
77,FamilyMart,,10.75625435,106.66857869999998,District 5
78,FamilyMart,,10.753800357498271,106.66462117250006,District 5
79,Unknown,parking,10.752709871454076,106.68520275913154,District 5
80,Bãi đỗ xe 606 Trần Hưng Đạo,parking,10.755385362744343,106.6796311122186,District 5
81,Unknown,parking,10.756630048468587,106.68078991149694,District 5
82,Bách Hóa XANH,,10.752328863213604,106.66304244539693,District 5
