id,name,amenity,lat,lon,road_node
1,Khách sạn Sofitel,,10.784146,106.7022474,4605462429
2,Trạm Xăng Dầu Số 9,fuel,10.7706834,106.6893379,8819566548
3,Cửa Hàng Xăng Dầu Comeco,fuel,10.7905722,106.6942144,411917924
4,Unknown,fuel,10.7753118,106.7048514,411926010
5,Cửa Hàng Xăng Dầu Satra,fuel,10.7689585,106.6966613,10215974129
6,Unknown,parking,10.7812499,106.6983279,1769456941
7,Trường Đại Học Ngân Hàng,college,10.7704853,106.7047872,1769173982
8,Unknown,parking,10.7734144,106.6937048,411926058
9,Unknown,parking,10.7814261,106.6969159,1769456883
10,Unknown,parking,10.7810892,106.6965647,1769456883
11,Unknown,parking,10.7754919,106.6984902,5743072751
12,Unknown,parking,10.7761981,106.6977285,411926696
13,FamilyMart,,10.7692304,106.7001682,411919179
14,Unknown,,10.7737618,106.704673,11140371367
15,Circle K,,10.7709168,106.6894985,8819566548
16,Shop&Go!,,10.7718769,106.6904496,6793960865
17,Unknown,parking,10.7760071,106.702098,10560232676
18,Circle K,,10.7796921,106.7007494,411926624
19,Unknown,parking,10.7771916,106.6962032,411918850
20,Unknown,parking,10.7720545,106.697625,411926070
21,Unknown,parking,10.7871712,106.7046796,11950422110
22,Unknown,parking,10.7870396,106.7044597,11950422110
23,Shop&Go!,,10.7674953,106.7002265,6783651564
24,Siêu Thị Online Annam Gourmet,,10.7767779,106.7050958,411926393
25,Columbia Asia Saigon,hospital,10.7795758,106.6965213,411918866
26,Circle K,,10.77194,106.703707,411926407
27,Circle K,,10.7744175,106.6966499,5763135356
28,Citimart,,10.784261,106.69973,411925987
29,Bảo tàng Tôn Đức Thắng,,10.7776675,106.7070246,5742670239
30,Công viên Lê Văn Tám,,10.7869042,106.6941735,10291112014
31,Đinh Tiên Hoàng,,10.789511,106.6967242,411925979
32,Bến Bạch Đằng,,10.7733704,106.7063876,2036083298
33,Đại học Khoa học Tự nhiên,,10.7622515,106.6830377,2469697624
34,Chợ Nancy,,10.757051,106.68587,9404261850
35,Chợ Thái Bình,,10.7669423,106.6875927,4603797315
36,Đền Trần Hưng Đạo,,10.7912747,106.6952364,411921783
37,Công viên Lê Văn Tám,,10.7888286,106.6927829,13075589603
38,Nguyễn Thị Nghĩa,,10.7699494,106.6934155,2032267208
39,Chợ Bến Thành,,10.7726204,106.6992917,11221021745
40,Mầm non Hoa Lư,,10.7851929,106.7087129,5740395228
